seed,aideen_backend,transformer_backend,transformer_impl,iso_data_unit,exp1_ai_best,exp1_tf_best,exp1_ai_tps,exp1_tf_tps,exp2_ai_best,exp2_tf_best,exp2_ai_tokens,exp2_tf_tokens,exp1_ai_updates,exp1_tf_updates,exp2_ai_updates,exp2_tf_updates,inf_ai_nll,inf_tf_nll,inf_ai_tps,inf_tf_tps
42,cpu,cpu,candle_gpt,updates,3.458785,4.211002,317.198,26648.370,3.443010,4.524942,2048,2048,32,32,16,16,3.458785,4.211002,1619.719,31198.475
1337,cpu,cpu,candle_gpt,updates,3.437822,4.083967,306.463,25355.426,3.417237,4.363465,2048,2048,32,32,16,16,3.437822,4.083967,1579.699,29654.281
