name,dr,h_slots,max_iters,cg_iters,eps,lr,iters
stable_512,512,8,14,12,2e-4,3e-4,20
stable_640,640,8,14,12,2e-4,3e-4,20
tune_768_a,768,8,14,12,2e-4,2.5e-4,20
tune_768_b,768,8,16,14,2.2e-4,2.0e-4,20
tune_896_a,896,8,14,12,1.8e-4,3.0e-4,20
tune_1024_a,1024,8,14,12,1.5e-4,4.0e-4,20
