epoch,loss,lr,tps_epoch,tokens
0,10.824893,0.00010000,20.961,468
1,10.824867,0.00008947,20.680,468
2,10.824855,0.00006140,21.051,468
3,10.824697,0.00003070,21.365,468
4,10.824697,0.00002053,20.902,468
5,10.824697,0.00001373,20.581,468
6,10.824695,0.00001000,20.978,468
7,10.824695,0.00001000,21.113,468
