epoch,loss,lr,tps_epoch,tokens
0,10.906100,0.00010000,121.814,468
1,10.854100,0.00009485,259.052,468
2,22.896500,0.00007750,267.210,1898
3,23.023199,0.00003875,229.400,1898
4,23.023199,0.00003631,28.645,1898
5,23.023199,0.00002412,245.295,1898
6,23.023199,0.00001206,302.251,1898
7,23.023199,0.00001206,320.168,1898
8,23.023199,0.00001153,290.161,1898
9,23.023199,0.00001000,215.850,1898
10,23.023199,0.00001000,194.649,1898
11,23.023199,0.00001000,180.840,1898
